Rowid,Country,State lgd code,State,Year,Gender,Projected population
1,India,1,Jammu And Kashmir,2011,Female,5821
2,India,1,Jammu And Kashmir,2011,Male,6519
3,India,1,Jammu And Kashmir,2012,Female,5886
4,India,1,Jammu And Kashmir,2012,Male,6580
5,India,1,Jammu And Kashmir,2013,Female,5951
6,India,1,Jammu And Kashmir,2013,Male,6641
7,India,1,Jammu And Kashmir,2014,Female,6016
8,India,1,Jammu And Kashmir,2014,Male,6702
9,India,1,Jammu And Kashmir,2015,Female,6081
10,India,1,Jammu And Kashmir,2015,Male,6763
11,India,1,Jammu And Kashmir,2016,Female,6140
12,India,1,Jammu And Kashmir,2016,Male,6817
13,India,1,Jammu And Kashmir,2017,Female,6193
14,India,1,Jammu And Kashmir,2017,Male,6865
15,India,1,Jammu And Kashmir,2018,Female,6247
16,India,1,Jammu And Kashmir,2018,Male,6913
17,India,1,Jammu And Kashmir,2019,Female,6301
18,India,1,Jammu And Kashmir,2019,Male,6961
19,India,1,Jammu And Kashmir,2020,Female,6355
20,India,1,Jammu And Kashmir,2020,Male,7010
21,India,1,Jammu And Kashmir,2021,Female,6408
22,India,1,Jammu And Kashmir,2021,Male,7056
23,India,1,Jammu And Kashmir,2022,Female,6461
24,India,1,Jammu And Kashmir,2022,Male,7102
25,India,1,Jammu And Kashmir,2023,Female,6513
26,India,1,Jammu And Kashmir,2023,Male,7147
27,India,1,Jammu And Kashmir,2024,Female,6565
28,India,1,Jammu And Kashmir,2024,Male,7192
29,India,1,Jammu And Kashmir,2025,Female,6618
30,India,1,Jammu And Kashmir,2025,Male,7238
31,India,1,Jammu And Kashmir,2026,Female,6669
32,India,1,Jammu And Kashmir,2026,Male,7281
33,India,1,Jammu And Kashmir,2027,Female,6720
34,India,1,Jammu And Kashmir,2027,Male,7323
35,India,1,Jammu And Kashmir,2028,Female,6771
36,India,1,Jammu And Kashmir,2028,Male,7365
37,India,1,Jammu And Kashmir,2029,Female,6822
38,India,1,Jammu And Kashmir,2029,Male,7407
39,India,1,Jammu And Kashmir,2030,Female,6873
40,India,1,Jammu And Kashmir,2030,Male,7449
41,India,1,Jammu And Kashmir,2031,Female,6919
42,India,1,Jammu And Kashmir,2031,Male,7487
43,India,1,Jammu And Kashmir,2032,Female,6963
44,India,1,Jammu And Kashmir,2032,Male,7520
45,India,1,Jammu And Kashmir,2033,Female,7007
46,India,1,Jammu And Kashmir,2033,Male,7554
47,India,1,Jammu And Kashmir,2034,Female,7051
48,India,1,Jammu And Kashmir,2034,Male,7587
49,India,1,Jammu And Kashmir,2035,Female,7094
50,India,1,Jammu And Kashmir,2035,Male,7621
51,India,1,Jammu And Kashmir,2036,Female,7138
52,India,1,Jammu And Kashmir,2036,Male,7654
53,India,2,Himachal Pradesh,2011,Female,3400
54,India,2,Himachal Pradesh,2011,Male,3499
55,India,2,Himachal Pradesh,2012,Female,3429
56,India,2,Himachal Pradesh,2012,Male,3529
57,India,2,Himachal Pradesh,2013,Female,3458
58,India,2,Himachal Pradesh,2013,Male,3559
59,India,2,Himachal Pradesh,2014,Female,3487
60,India,2,Himachal Pradesh,2014,Male,3588
61,India,2,Himachal Pradesh,2015,Female,3516
62,India,2,Himachal Pradesh,2015,Male,3618
63,India,2,Himachal Pradesh,2016,Female,3541
64,India,2,Himachal Pradesh,2016,Male,3644
65,India,2,Himachal Pradesh,2017,Female,3565
66,India,2,Himachal Pradesh,2017,Male,3668
67,India,2,Himachal Pradesh,2018,Female,3588
68,India,2,Himachal Pradesh,2018,Male,3692
69,India,2,Himachal Pradesh,2019,Female,3611
70,India,2,Himachal Pradesh,2019,Male,3716
71,India,2,Himachal Pradesh,2020,Female,3634
72,India,2,Himachal Pradesh,2020,Male,3740
73,India,2,Himachal Pradesh,2021,Female,3655
74,India,2,Himachal Pradesh,2021,Male,3760
75,India,2,Himachal Pradesh,2022,Female,3673
76,India,2,Himachal Pradesh,2022,Male,3779
77,India,2,Himachal Pradesh,2023,Female,3692
78,India,2,Himachal Pradesh,2023,Male,3798
79,India,2,Himachal Pradesh,2024,Female,3711
80,India,2,Himachal Pradesh,2024,Male,3816
81,India,2,Himachal Pradesh,2025,Female,3729
82,India,2,Himachal Pradesh,2025,Male,3835
83,India,2,Himachal Pradesh,2026,Female,3745
84,India,2,Himachal Pradesh,2026,Male,3850
85,India,2,Himachal Pradesh,2027,Female,3758
86,India,2,Himachal Pradesh,2027,Male,3863
87,India,2,Himachal Pradesh,2028,Female,3771
88,India,2,Himachal Pradesh,2028,Male,3877
89,India,2,Himachal Pradesh,2029,Female,3785
90,India,2,Himachal Pradesh,2029,Male,3890
91,India,2,Himachal Pradesh,2030,Female,3798
92,India,2,Himachal Pradesh,2030,Male,3903
93,India,2,Himachal Pradesh,2031,Female,3808
94,India,2,Himachal Pradesh,2031,Male,3913
95,India,2,Himachal Pradesh,2032,Female,3815
96,India,2,Himachal Pradesh,2032,Male,3920
97,India,2,Himachal Pradesh,2033,Female,3822
98,India,2,Himachal Pradesh,2033,Male,3927
99,India,2,Himachal Pradesh,2034,Female,3829
100,India,2,Himachal Pradesh,2034,Male,3935
101,India,2,Himachal Pradesh,2035,Female,3837
102,India,2,Himachal Pradesh,2035,Male,3942
103,India,2,Himachal Pradesh,2036,Female,3844
104,India,2,Himachal Pradesh,2036,Male,3950
105,India,3,Punjab,2011,Female,13184
106,India,3,Punjab,2011,Male,14722
107,India,3,Punjab,2012,Female,13322
108,India,3,Punjab,2012,Male,14864
109,India,3,Punjab,2013,Female,13460
110,India,3,Punjab,2013,Male,15005
111,India,3,Punjab,2014,Female,13597
112,India,3,Punjab,2014,Male,15147
113,India,3,Punjab,2015,Female,13735
114,India,3,Punjab,2015,Male,15288
115,India,3,Punjab,2016,Female,13863
116,India,3,Punjab,2016,Male,15417
117,India,3,Punjab,2017,Female,13983
118,India,3,Punjab,2017,Male,15536
119,India,3,Punjab,2018,Female,14104
120,India,3,Punjab,2018,Male,15655
121,India,3,Punjab,2019,Female,14224
122,India,3,Punjab,2019,Male,15775
123,India,3,Punjab,2020,Female,14345
124,India,3,Punjab,2020,Male,15894
125,India,3,Punjab,2021,Female,14454
126,India,3,Punjab,2021,Male,15999
127,India,3,Punjab,2022,Female,14554
128,India,3,Punjab,2022,Male,16095
129,India,3,Punjab,2023,Female,14654
130,India,3,Punjab,2023,Male,16191
131,India,3,Punjab,2024,Female,14754
132,India,3,Punjab,2024,Male,16287
133,India,3,Punjab,2025,Female,14854
134,India,3,Punjab,2025,Male,16383
135,India,3,Punjab,2026,Female,14942
136,India,3,Punjab,2026,Male,16466
137,India,3,Punjab,2027,Female,15022
138,India,3,Punjab,2027,Male,16540
139,India,3,Punjab,2028,Female,15102
140,India,3,Punjab,2028,Male,16614
141,India,3,Punjab,2029,Female,15182
142,India,3,Punjab,2029,Male,16688
143,India,3,Punjab,2030,Female,15261
